Content,Sentiment
"['tiffanylu', 'know', 'listenin', 'bad', 'habit', 'earlier', 'start', 'freakin', 'part']",empty
"['layin', 'n', 'bed', 'headach', 'ughhhhwaitin', 'call']",sadness
"['funer', 'ceremonygloomi', 'friday']",sadness
"['want', 'hang', 'friend', 'soon']",enthusiasm
"['dannycastillo', 'want', 'trade', 'someon', 'houston', 'ticket', 'one']",neutral
"['reping', 'ghostridah14', 'didnt', 'go', 'prom', 'bc', 'bf', 'didnt', 'like', 'friend']",worry
"['sleep', 'im', 'think', 'old', 'friend', 'want', 'hes', 'marri', 'damn', 'amp', 'want', '2', 'scandal']",sadness
"['hmmm', 'httpwwwdjherocom']",worry
"['charviray', 'charlen', 'love', 'miss']",sadness
"['kelcouch', 'im', 'sorri', 'least', 'friday']",sadness
"['cant', 'fall', 'asleep']",neutral
"['choke', 'retain']",worry
"['ugh', 'beat', 'stupid', 'song', 'get', 'next', 'rude']",sadness
"['brodyjenn', 'u', 'watch', 'hill', 'london', 'u', 'realis', 'tourtur', 'week', 'week', 'late', 'watch', 'itonlinelol']",sadness
"['get', 'news']",surprise
"['storm', 'electr', 'go']",sadness
"['annarosekerr', 'agre']",love
"['sleepi', 'even', 'late', 'fail']",sadness
"['perezhilton', 'ladi', 'gaga', 'tweet', 'impress', 'video', 'leak', 'know']",worry
"['convinc', 'alway', 'want', 'signal', 'give', 'offdamn', 'think', 'lose', 'anoth', 'friend']",sadness
"['raaaaaaek', 'oh', 'bad', 'hope', 'get', 'better', 'ive', 'sleep', 'issu', 'late']",worry
"['wonder', 'im', 'awak', '7amwrit', 'new', 'songplot', 'evil', 'secret', 'plot', 'muahahahaoh', 'damn', 'itnot', 'secret', 'anymor']",fun
"['topic', 'map', 'talk', 'balisag', 'markup', 'confer', '2009', 'program', 'onlin', 'httptrimml6z', 'via', 'bobdc', 'topicmap']",neutral
"['eat', 'someth', 'dont', 'know', 'keep', 'tell', 'thing', 'food']",worry
"['tire', 'think', 'im', 'definit', 'go', 'get', 'ear', 'infect', 'go', 'bed', 'quotearlyquot']",sadness
"['way', 'home', 'n', '2', 'deal', 'w', 'underag', 'girl', 'drink', 'gin', 'da', 'bus', 'talk', 'bout', 'keggersdamn', 'feel', 'old']",worry
"['isaacmascot', 'im', 'sorri', 'peopl', 'rude', 'isaac', 'get', 'manner', 'know', 'better', 'lewd']",sadness
"['damm', 'server', 'still', 'need', 'hit', '80', 'koxper', 'pass']",worry
"['fudg', 'bsd', 'whole', 'paper', 'tire', 'ugh', 'hate', 'school', 'time', 'sleep']",sadness
"['hate', 'cancer', 'hate', 'hate', 'hate']",worry
"['annoy', 'start', 'type', 'comput', 'middl', 'night']",hate
"['cynthia_123', 'cant', 'sleep']",neutral
"['miss', 'bli', 'bus']",neutral
"['feel', 'strong', 'contract', 'want', 'go', 'httpplurkcompwxidk']",neutral
"['socal', 'stoke', 'mayb', 'tomorrow']",neutral
"['screw', 'davidbrusse', '3', 'week']",neutral
"['ether_radio', 'yeah', 'feel', 'funni', 'caus', 'havent', 'sleep', 'enough', 'wake', 'mum', 'caus', 'sing', 'shes', 'impress']",sadness
"['need', 'skott', 'right']",worry
"['work', 'afternoon']",neutral
"['gabbyisact', 'aw', 'would', 'unfollow', 'would', 'would', 'cri']",neutral
"['mmm', 'much', 'better', 'day', 'far', 'still', 'quit', 'earli', 'last', 'day', 'ud']",happiness
"['davidarchi', 'lt3', 'gon', 'na', 'first', 'twitter', 'caus', 'amaz', 'lol', 'come', 'canada', 'would', 'anyth', 'see', 'perform']",fun
"['pick', 'blackberri', 'middl', 'street', 'crush']",worry
"['feel', 'pack', 'hit', 'sfo', 'around', 'time', 'year', 'think', 'im', 'miss', 'someth']",worry
"['crey', 'middl', 'school', 'elem', 'high', 'school', 'remain', 'open', 'need', 'credit', 'graduat', 'cali', 'break']",empty
"['bed', 'time', 'hope', 'go', 'school', 'tomorrow', 'though', 'dont', 'feel', 'well', 'right']",worry
"['onscrn', 'ahh', 'well', 'hope', 'could', 'learn', 'stuff', 'way', 'work', 'separ', 'thing', 'also']",worry
"['im', 'problem', 'photo', 'twitter', 'amfcant', 'see', 'face']",sadness
"['jakeboyd', 'oh', 'noooo', 'blow', 'tire', 'your', 'reaaaalli', 'go', 'send', 'batman', 'smoke']",neutral
"['wnna', 'take', 'bath']",neutral
"['chocol', 'milk', 'much', 'better', 'straw', 'lack', 'say', 'straw']",neutral
['tire'],worry
"['djmicdamn', 'hey', 'yu', 'lil', 'fucker', 'textd', 'yu']",empty
"['mennard', 'time', 'diff', 'ive', 'wrap', 'day', 'day', 'stuff', 'havent', 'tweet', 'talk', 'soonmust', 'sleepup', '6hrs']",neutral
"['benbal', 'way', 'damn', 'suck', 'b', 'ok']",neutral
"['suck', 'abl', 'take', 'day', 'work', 'money', 'take', 'trip', 'sad']",worry
"['bedsorta', 'today', 'good', 'sara', 'strep', 'think', 'angelina', 'share', 'water', 'b4', 'tell', 'prob', 'get']",enthusiasm
"['ramtop', 'recess', 'hotel', 'restructur', 'account', 'do', 'add', 'bite', 'pressur', 'short', 'term', 'well', 'cope']",neutral
"['lostluna', 'get', 'dib', 'sulu']",neutral
"['maternityte', 'aww', 'onward', 'upward', 'yay', 'still', 'sad', 'leav', 'bet']",sadness
"['itsgabbith', 'haha', 'poor', 'abi', 'still', 'get', 'sore']",worry
"['diesel', 'yari', '70mpg', 'sad', 'avail', 'us', 'thatd', 'awesom']",sadness
"['want', 'buy', 'great', 'album', 'unfortun', 'dont', 'hav', 'enuff', 'fund', 'quotlong', 'time', 'noisyquot']",sadness
"['pokinatcha', 'honestypain', 'blech']",sadness
"['ok', 'passeng', 'one', 'aliv', 'theyr', 'dead', 'dont', 'know', 'til', 'end', 'cri']",sadness
"['home', 'alon', 'much']",neutral
"['davidcooklov', 'ia', 'much', 'havent', 'realli', 'happi', 'cook', 'choic', 'singl']",worry
"['vincew', 'stefanyngo', 'fell', 'asleep', 'beach', 'didnt', 'put', 'enough', 'sunscreen', 'lol']",sadness
"['think', 'son', 'might', 'flu', 'caus', 'def', 'clean', 'stanki', 'puke', 'mess', 'poor', 'pumkpin']",worry
